,DateTime,Open,High,Low,Close
0,2019-06-17 08:00:00,146.66,182.82,146.66,182.8
1,2019-06-17 08:01:00,182.8,182.82,182.78,182.79
2,2019-06-17 08:02:00,182.79,182.87,182.76,182.77
3,2019-06-17 08:03:00,182.77,182.81,182.74,182.81
4,2019-06-17 08:04:00,182.81,182.81,182.81,182.81
5,2019-06-17 08:05:00,182.81,182.88,182.81,182.88
6,2019-06-17 08:06:00,182.88,182.9,182.84,182.89
7,2019-06-17 08:07:00,182.89,182.91,182.89,182.91
8,2019-06-17 08:08:00,182.91,182.94,182.89,182.93
9,2019-06-17 08:09:00,182.93,182.93,182.92,182.93
10,2019-06-17 08:10:00,182.93,182.93,182.91,182.91
11,2019-06-17 08:11:00,182.91,182.93,182.9,182.93
12,2019-06-17 08:12:00,182.93,182.97,182.92,182.97
13,2019-06-17 08:13:00,182.97,182.98,182.96,182.98
14,2019-06-17 08:14:00,182.98,183.01,182.96,182.99
15,2019-06-17 08:15:00,182.99,182.99,182.98,182.99
16,2019-06-17 08:16:00,182.99,182.99,182.96,182.97
17,2019-06-17 08:17:00,182.97,182.98,182.96,182.98
18,2019-06-17 08:18:00,182.98,183.01,182.98,183.0
19,2019-06-17 08:19:00,183.0,183.01,182.95,182.96
20,2019-06-17 08:20:00,182.96,182.96,182.95,182.96
21,2019-06-17 08:21:00,182.96,182.99,182.95,182.97
22,2019-06-17 08:22:00,182.97,182.99,182.92,182.93
23,2019-06-17 08:23:00,182.93,182.94,182.91,182.91
24,2019-06-17 08:24:00,182.91,182.91,182.89,182.9
25,2019-06-17 08:25:00,182.9,182.9,182.87,182.88
26,2019-06-17 08:26:00,182.88,182.9,182.87,182.89
27,2019-06-17 08:27:00,182.89,182.9,182.87,182.88
28,2019-06-17 08:28:00,182.88,182.9,182.87,182.9
29,2019-06-17 08:29:00,182.9,182.91,182.87,182.89
30,2019-06-17 08:30:00,182.89,182.94,182.89,182.92
31,2019-06-17 08:31:00,182.92,182.92,182.9,182.91
32,2019-06-17 08:32:00,182.91,182.97,182.91,182.97
33,2019-06-17 08:33:00,182.97,182.97,182.97,182.97
34,2019-06-17 08:34:00,182.97,182.97,182.94,182.95
35,2019-06-17 08:35:00,182.95,182.96,182.94,182.94
36,2019-06-17 08:36:00,182.94,182.95,182.94,182.94
37,2019-06-17 08:37:00,182.94,182.94,182.85,182.88
38,2019-06-17 08:38:00,182.88,182.92,182.87,182.91
39,2019-06-17 08:39:00,182.91,182.94,182.91,182.92
40,2019-06-17 08:40:00,182.92,182.94,182.92,182.94
41,2019-06-17 08:41:00,182.94,182.96,182.94,182.96
42,2019-06-17 08:42:00,182.96,182.96,182.96,182.96
43,2019-06-17 08:43:00,182.96,182.96,182.96,182.96
44,2019-06-17 08:44:00,182.96,182.96,182.96,182.96
45,2019-06-17 08:45:00,182.96,182.96,182.94,182.94
46,2019-06-17 08:46:00,182.94,182.94,182.94,182.94
47,2019-06-17 08:47:00,182.94,182.94,182.85,182.87
48,2019-06-17 08:48:00,182.87,182.9,182.87,182.89
49,2019-06-17 08:49:00,182.89,182.91,182.88,182.88
50,2019-06-17 08:50:00,182.88,182.89,182.87,182.88
51,2019-06-17 08:51:00,182.88,182.92,182.88,182.92
52,2019-06-17 08:52:00,182.92,182.92,182.91,182.92
53,2019-06-17 08:53:00,182.92,182.97,182.92,182.96
54,2019-06-17 08:54:00,182.96,182.98,182.96,182.97
55,2019-06-17 08:55:00,182.97,182.99,182.97,182.98
56,2019-06-17 08:56:00,182.98,182.98,182.98,182.98
57,2019-06-17 08:57:00,182.98,182.98,182.96,182.96
58,2019-06-17 08:58:00,182.96,182.98,182.96,182.98
59,2019-06-17 08:59:00,182.98,182.99,182.97,182.98
60,2019-06-17 09:00:00,182.98,183.02,182.98,183.0
61,2019-06-17 09:01:00,183.0,183.01,183.0,183.0
62,2019-06-17 09:02:00,183.0,183.04,183.0,183.04
63,2019-06-17 09:03:00,183.04,183.13,183.04,183.13
64,2019-06-17 09:04:00,183.13,183.13,183.1,183.1
65,2019-06-17 09:05:00,183.1,183.12,183.1,183.11
66,2019-06-17 09:06:00,183.11,183.11,183.1,183.1
67,2019-06-17 09:07:00,183.1,183.1,183.04,183.07
68,2019-06-17 09:08:00,183.07,183.07,183.07,183.07
69,2019-06-17 09:09:00,183.07,183.11,183.07,183.11
70,2019-06-17 09:10:00,183.11,183.13,183.11,183.11
71,2019-06-17 09:11:00,183.11,183.11,183.11,183.11
72,2019-06-17 09:12:00,183.11,183.11,183.05,183.05
73,2019-06-17 09:13:00,183.05,183.05,183.02,183.02
74,2019-06-17 09:14:00,183.02,183.07,183.02,183.07
75,2019-06-17 09:15:00,183.07,183.08,183.06,183.07
76,2019-06-17 09:16:00,183.07,183.07,183.03,183.03
77,2019-06-17 09:17:00,183.03,183.03,183.02,183.02
78,2019-06-17 09:18:00,183.02,183.02,183.02,183.02
79,2019-06-17 09:19:00,183.02,183.04,182.97,183.0
80,2019-06-17 09:20:00,183.0,183.0,182.96,182.96
81,2019-06-17 09:21:00,182.96,182.99,182.96,182.98
82,2019-06-17 09:22:00,182.98,183.0,182.98,182.99
83,2019-06-17 09:23:00,182.99,183.0,182.98,182.98
84,2019-06-17 09:24:00,182.98,182.99,182.98,182.98
85,2019-06-17 09:25:00,182.98,182.98,182.98,182.98
86,2019-06-17 09:26:00,182.98,182.98,182.96,182.96
87,2019-06-17 09:27:00,182.96,182.98,182.96,182.97
88,2019-06-17 09:28:00,182.97,183.02,182.97,183.02
89,2019-06-17 09:29:00,183.02,183.03,183.01,183.02
90,2019-06-17 09:30:00,183.02,183.03,183.02,183.02
91,2019-06-17 09:31:00,183.02,183.03,183.02,183.03
92,2019-06-17 09:32:00,183.03,183.03,183.02,183.02
93,2019-06-17 09:33:00,183.02,183.03,183.02,183.03
94,2019-06-17 09:34:00,183.03,183.03,183.03,183.03
95,2019-06-17 09:35:00,183.03,183.03,183.03,183.03
96,2019-06-17 09:36:00,183.03,183.03,183.03,183.03
97,2019-06-17 09:37:00,183.03,183.03,183.03,183.03
98,2019-06-17 09:38:00,183.03,183.03,182.96,182.97
99,2019-06-17 09:39:00,182.97,182.97,182.96,182.97
100,2019-06-17 09:40:00,182.97,182.99,182.97,182.98
101,2019-06-17 09:41:00,182.98,183.0,182.98,182.99
102,2019-06-17 09:42:00,182.99,183.01,182.99,183.01
103,2019-06-17 09:43:00,183.01,183.02,182.97,182.97
104,2019-06-17 09:44:00,182.97,182.97,182.89,182.91
105,2019-06-17 09:45:00,182.91,182.91,182.84,182.88
106,2019-06-17 09:46:00,182.88,182.88,182.85,182.85
107,2019-06-17 09:47:00,182.85,182.87,182.85,182.85
108,2019-06-17 09:48:00,182.85,182.85,182.85,182.85
109,2019-06-17 09:49:00,182.85,182.88,182.85,182.87
110,2019-06-17 09:50:00,182.87,182.92,182.87,182.92
